last_name, first_name,player_id,year,xba,xslg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Cruz Jr., Nelson,443558,2022,.241,.399,90.9,7.2,9.3,
Blackmon, Charlie,453568,2022,.256,.376,86.2,12.4,4.4,
McCutchen, Andrew,457705,2022,.252,.406,89.1,13.2,8.6,
Turner, Justin,457759,2022,.267,.427,89.5,18.4,8,
Andrus, Elvis,462101,2022,.245,.360,87.9,11.9,4.5,
Santana, Carlos,467793,2022,.253,.438,90.7,15.4,9.3,
Gurriel, Yuli,493329,2022,.240,.319,88.2,14.6,1.9,
Rojas, Miguel,500743,2022,.264,.347,86.1,10.1,1.9,
Escobar, Eduardo,500871,2022,.243,.427,88.3,20.6,9.4,
Pham, Tommy,502054,2022,.238,.383,92.2,7.7,7.9,
Martinez, J.D.,502110,2022,.260,.471,89.1,14.1,12.5,
Goldschmidt, Paul,502671,2022,.261,.482,90.8,15.7,11.6,
Altuve, Jose,514888,2022,.269,.440,85.9,16.1,7.7,
Hernandez, Cesar,514917,2022,.248,.329,84.8,9.3,2.4,
Marte, Starling,516782,2022,.276,.428,86.8,7.5,6.8,
Donaldson, Josh,518626,2022,.215,.370,90.7,12,9.8,
Freeman, Freddie,518692,2022,.313,.538,91.3,13.6,9.9,
LeMahieu, DJ,518934,2022,.274,.403,89.2,3,5.3,
Rizzo, Anthony,519203,2022,.239,.454,89.4,19.3,10.9,
Flores, Wilmer,527038,2022,.233,.370,87.8,20.7,6.3,
Ozuna, Marcell,542303,2022,.256,.478,89.4,16.5,13.1,
Aguilar, Jesus,542583,2022,.240,.393,87.7,19.1,6.9,
Cron, C.J.,543068,2022,.244,.438,88.7,14.2,10.8,
Semien, Marcus,543760,2022,.243,.394,87.3,19.9,6.8,
Springer III, George,543807,2022,.265,.438,88.7,13.9,8.4,
Grichuk, Randal,545341,2022,.229,.370,90,8.7,6.8,
Abreu, Jose,547989,2022,.296,.486,92.2,8,9.5,
Suarez, Eugenio,553993,2022,.220,.454,89.8,19.9,14.8,
Urshela, Gio,570482,2022,.268,.416,88.9,11.8,7,
Schoop, Jonathan,570731,2022,.228,.338,87,9.7,4.8,
Arenado, Nolan,571448,2022,.265,.445,88.7,21.7,8.2,
Farmer, Kyle,571657,2022,.258,.380,85.5,12.7,4.4,
Muncy, Max,571970,2022,.208,.417,90.3,20.9,13.4,
Pollock, AJ,572041,2022,.258,.419,88.8,11.6,9.4,
Voit III, Luke,572228,2022,.222,.434,89.8,18.4,14.7,
Walker, Christian,572233,2022,.257,.484,90,17,11.5,
Yastrzemski, Mike,573262,2022,.220,.392,89.9,19.9,11.1,
Canha, Mark,592192,2022,.245,.362,87.7,10.9,4.9,
Castellanos, Nick,592206,2022,.250,.395,87.5,14.6,6.6,
Drury, Brandon,592273,2022,.242,.420,89.1,13.8,10.4,
Judge, Aaron,592450,2022,.305,.706,95.9,15,26.5,
Machado, Manny,592518,2022,.264,.447,91.5,16,9.8,
Realmuto, J.T.,592663,2022,.275,.463,90.3,13.1,11.3,
Renfroe, Hunter,592669,2022,.240,.438,90.5,17.7,10.9,
Yelich, Christian,592885,2022,.258,.404,91.5,3.6,8.2,
Merrifield, Whit,593160,2022,.240,.356,87.1,15.1,4.2,
Bogaerts, Xander,593428,2022,.259,.383,88.1,10.2,6.5,
Profar, Jurickson,595777,2022,.251,.359,87.5,12.9,4,
Baez, Javier,595879,2022,.230,.378,87.9,9.6,8,
Lindor, Francisco,596019,2022,.254,.427,89.3,13.8,8.3,
Bell, Josh,605137,2022,.273,.424,88.9,8.4,7.2,
Betts, Mookie,605141,2022,.254,.465,90.5,18.6,9.7,
Hernandez, Teoscar,606192,2022,.265,.501,92.6,11.6,15,
Marte, Ketel,606466,2022,.251,.377,90.1,13.5,6.1,
Nimmo, Brandon,607043,2022,.261,.409,89.4,6.1,7,
Turner, Trea,607208,2022,.276,.432,88.9,10.2,7.6,
Ramirez, Jose,608070,2022,.255,.408,87.7,20.7,6.6,
Bregman, Alex,608324,2022,.257,.416,88.9,19.5,7.3,
Seager, Corey,608369,2022,.283,.510,91.1,13.6,10.5,
Winker, Jesse,608385,2022,.249,.403,87.7,16.8,7.6,
Swanson, Dansby,621020,2022,.257,.461,90.2,15.7,10.8,
Correa, Carlos,621043,2022,.276,.484,89.9,11.6,11.4,
Ward, Taylor,621493,2022,.268,.474,90,15.8,12.4,
Wisdom, Patrick,621550,2022,.188,.380,90.7,21,14.2,
Olson, Matt,621566,2022,.248,.467,92.9,16.1,13.6,
Mateo, Jorge,622761,2022,.222,.344,86.8,14.8,6,
Santander, Anthony,623993,2022,.257,.471,90.1,21.4,11.6,
Alonso, Pete,624413,2022,.262,.489,89.8,18.2,12.3,
Frazier, Adam,624428,2022,.262,.339,85.1,13.6,1.5,
Cronenworth, Jake,630105,2022,.221,.356,87.6,18.2,5.6,
Bellinger, Cody,641355,2022,.213,.354,89.4,20.3,8.3,
Crawford, J.P.,641487,2022,.255,.337,85.1,8.9,2,
Mancini III, Trey,641820,2022,.245,.410,89.5,12.7,9.8,
McMahon, Ryan,641857,2022,.248,.423,91.7,10.8,10.4,
Tellez, Rowdy,642133,2022,.252,.479,91.1,15.3,12.9,
Rosario, Amed,642708,2022,.276,.396,88.4,5,4.5,
Adames, Willy,642715,2022,.238,.451,88.9,18.9,13,
Estrada, Thairo,642731,2022,.246,.352,86.2,8.1,4.4,
Benintendi, Andrew,643217,2022,.273,.407,89.2,12.6,5.1,
Kemp, Tony,643393,2022,.219,.291,84.4,15,1.6,
Kiner-Falefa, Isiah,643396,2022,.262,.333,86.2,4.3,1.2,
McNeil, Jeff,643446,2022,.280,.389,86.9,12.8,2.7,
Devers, Rafael,646240,2022,.282,.497,93.1,11.3,11.5,
Arraez, Luis,650333,2022,.288,.408,88.9,12.9,3.6,
Torres, Gleyber,650402,2022,.244,.441,90.4,17.5,10.7,
Diaz, Yandy,650490,2022,.288,.424,92.2,7.7,4.8,
Rengifo, Luis,650859,2022,.254,.392,86.9,9.9,5.4,
Chapman, Matt,656305,2022,.234,.440,92.2,19,12.9,
Hoskins, Rhys,656555,2022,.239,.445,90.1,18.1,11.1,
Mullins II, Cedric,656775,2022,.232,.349,88.8,17.4,4.9,
Schwarber, Kyle,656941,2022,.237,.535,93.3,19.2,20.1,
Thomas, Lane,657041,2022,.222,.357,86.4,12.5,6.5,
Verdugo, Alex,657077,2022,.278,.428,89.1,8.4,6,
Ohtani, Shohei,660271,2022,.278,.552,92.9,12.1,16.8,
Acuna Jr., Ronald,660670,2022,.272,.486,91.2,10.8,12.8,
Varsho, Daulton,662139,2022,.214,.389,87.7,14.9,10.2,
Hoerner, Nico,663538,2022,.270,.366,87.2,10.7,2.6,
Riley, Austin,663586,2022,.271,.531,92.5,12.9,15.7,
Mountcastle, Ryan,663624,2022,.277,.509,91.3,15.9,15,
Hayes, Ke'Bryan,663647,2022,.250,.354,91,5.2,3.9,
Tucker, Kyle,663656,2022,.262,.482,90,19,10.2,
Grisham, Trent,663757,2022,.204,.354,88.3,15.1,8.1,
Rodgers, Brendan,663898,2022,.265,.404,90,4.6,7.2,
Lowe, Nathaniel,663993,2022,.275,.459,90.2,8.2,9.9,
Happ, Ian,664023,2022,.239,.379,89.7,10.9,6.5,
France, Ty,664034,2022,.262,.398,87.6,10.1,5.4,
Straw, Myles,664702,2022,.236,.301,87,9.8,0.7,
Bohm, Alec,664761,2022,.290,.436,90.2,10.4,6.8,
Brown, Seth,664913,2022,.251,.454,89.2,15.8,13,
Pena, Jeremy,665161,2022,.248,.397,88.1,8.7,9.7,
Guerrero Jr., Vladimir,665489,2022,.276,.462,92.8,4.3,11.2,
Soto, Juan,665742,2022,.266,.501,91,9.1,12.4,
Gimenez, Andres,665926,2022,.257,.400,87.8,11.7,6.2,
Bichette, Bo,666182,2022,.278,.444,91.9,8.5,9.6,
Garcia, Adolis,666969,2022,.244,.447,92.1,13.2,12.9,
Arozarena, Randy,668227,2022,.234,.382,89.9,8.8,7.9,
Reynolds, Bryan,668804,2022,.249,.416,90.2,12,7.9,
Rojas, Josh,668942,2022,.242,.365,88.8,11.9,4.5,
Melendez Jr., MJ,669004,2022,.237,.410,90.7,15.1,10.4,
Murphy, Sean,669221,2022,.255,.439,88.7,11.5,10.5,
Edman, Tommy,669242,2022,.258,.380,88.6,8.7,6.2,
Smith, Will,669257,2022,.257,.473,89.9,18.4,10.3,
Hays, Austin,669720,2022,.240,.372,87.7,11.3,5.2,
Alvarez, Yordan,670541,2022,.329,.672,95.2,12.3,21,
Kirk, Alejandro,672386,2022,.278,.431,90.5,8.1,6.7,
Kim, Ha-Seong,673490,2022,.250,.368,86.7,16.1,4.2,
Rodriguez, Julio,677594,2022,.254,.460,92,10.1,13.1,
Witt Jr., Bobby,677951,2022,.252,.427,89.7,16.8,8.7,
Kwan, Steven,680757,2022,.268,.341,85.1,11.8,1.4,
Vaughn, Andrew,683734,2022,.255,.415,90.8,7.5,7.9,